Canonical Form,Total Record Count,Match 1 Label,Match 1 URI,Match 1 Score,Match 2 Label,Match 2 URI,Match 2 Score,Match 3 Label,Match 3 URI,Match 3 Score,Possible Group Match (needs review)
"Surveys and Mapping, Ministry Lands and Housing",4,Uganda. Department of Surveys and Mapping,http://id.loc.gov/authorities/names/n97029611,43%,Botswana. Department of Surveys and Mapping,http://id.loc.gov/authorities/names/n97901373,42%,,,,
"GeoAccess Division, Canada Centre for Remote Sensing, Natural Resources Canada, Government of Canada",4,,,,,,,,,,
Royal Jordanian Geographic Centere (RJGC),4,,,,,,,,,,
Survey of Kenya,4,Survey of Kenya. SK (Series),http://id.loc.gov/authorities/names/no2006023028,70%,Survey of Kenya. Mapping Branch,http://id.loc.gov/authorities/names/n87943275,65%,Memoir (Geological Survey of Kenya),http://id.loc.gov/authorities/names/no2002014009,60%,
State Service of Cartography and Geodesy of Kyrgyz Republic,4,Kyrgyzstan. Gosudarstvennai︠a︡ kartografo-geodezicheskai︠a︡ sluzhba,http://id.loc.gov/authorities/names/no2002011765,33%,,,,,,,
National Geographic Department Prime Minister's Office,4,,,,,,,,,,
Latvian Geospatial Information Agency,4,,,,,,,,,,
State Authority for Geodetic Works (SAGW),4,,,,,,,,,,
State Administration of Geodesy and Cartography Mongolia,4,"Mongolia. Ulsyn Geodezi, Zurag Zu̇ĭn Gazar",http://id.loc.gov/authorities/names/n91123482,16%,"Mongolia. Gazryn Kharilt︠s︡aa, Geodezi, Zurag Zu̇ĭn Gazar",http://id.loc.gov/authorities/names/no2005040516,14%,"Mongolia. Ulsyn Geodezi, Zurag Zu̇ĭn Gazar. Zurag Zu̇ĭn U̇ĭldvėrt",http://id.loc.gov/authorities/names/no94023750,13%,
National Geographical Institute,4,National Center of GIS & Space Applications,http://id.loc.gov/authorities/names/n2024211360,51%,National Institute of Cartography (Cameroon). Department of Geographical Research,http://id.loc.gov/authorities/names/n98901291,43%,Alta Toquima Archaeological Project,http://id.loc.gov/authorities/names/no2006060156,36%,
National Mapping and Resource Information Authority,4,Philippines. National Mapping and Resource Information Authority,http://id.loc.gov/authorities/names/no92016255,89%,Philippines. National Mapping and Resource Information Authority. Mapping and Geodesy Branch,http://id.loc.gov/authorities/names/n2017221085,71%,Philippines. National Mapping and Resource Information Authority. Mapping and Reprography Department,http://id.loc.gov/authorities/names/n97030138,68%,
Survey Department of Sri Lanka,4,Sri Lanka. Purāvidyā Depārtamēntuva,http://id.loc.gov/authorities/names/n80024094,28%,,,,,,,
Sudan National Survey Authority,4,Sudan. National Survey Authority,http://id.loc.gov/authorities/names/no2012129999,98%,,,,,,,National Survey Authority (75%)
Federal Railroad Administration (FRA),4,United States. Federal Railroad Administration,http://id.loc.gov/authorities/names/n79114219,75%,DOT-VNTSC-FRA,http://id.loc.gov/authorities/names/n97109146,28%,DOT/FRA/ORD,http://id.loc.gov/authorities/names/n97108895,25%,
Chief Directorate Surveys and Mapping,4,South Africa. Chief Directorate: Surveys and Mapping,http://id.loc.gov/authorities/names/no2005062707,83%,South Africa. Directorate of Surveys and Mapping,http://id.loc.gov/authorities/names/n84082993,78%,South Africa. Directorate of Mapping,http://id.loc.gov/authorities/names/n95099369,60%,
Didot,3,"Didot, Mr., -1835",http://id.loc.gov/authorities/names/nr2004026646,45%,"Didot, Jules, 1794-1871",http://id.loc.gov/authorities/names/no2003114310,36%,"Didot, Pierre, 1761-1853",http://id.loc.gov/authorities/names/n84006975,34%,
Geological Survey (U.S.),3,"U.S. Geological Survey Pressure-Sensor Workshop (1992 : Denver, Colo.)",http://id.loc.gov/authorities/names/no95044557,45%,"U.S. Geological Survey Scientific Visualization Workshop (1994 : New Orleans, La.)",http://id.loc.gov/authorities/names/no95024845,42%,"U.S. Geological Survey Interdisciplinary Microbiology Workshop (2008 : Estes Park, Colo.)",http://id.loc.gov/authorities/names/no2010172144,39%,U.S. Geological Survey (100%)
New York (N.Y.). Department of Environmental Protection,3,New York (N.Y.). Department of Environmental Protection,http://id.loc.gov/authorities/names/n79098799,100%,New York (N.Y.). Department of Environmental Protection Bureau of Water and Sewer Operations,http://id.loc.gov/authorities/names/n2021000123,75%,New York (N.Y.). Bureau of Clean Water,http://id.loc.gov/authorities/names/nr93042127,60%,New York (N.Y.). Department of Transportation (67%); New York (N.Y.). Department of Sanitation (67%); New York (N.Y.). Department of Education (67%)
>Department of Information Technology and Telecommunications,3,New York (N.Y.). Department of Information Technology and Telecommunications.,http://id.loc.gov/authorities/names/no2001029622,86%,United States. Department of Justice. Computer Technology and Telecommunications Staff,http://id.loc.gov/authorities/names/n84141668,70%,Virginia. Department of Information Technology,http://id.loc.gov/authorities/names/n86108859,68%,Department of Information Technology and Telecommunications (100%); Department of Information Technology and Telecommunication (71%); New York (N.Y.). Department of Information Technology and Telecommunications. (60%)
"Defense Mapping Agency Hydrographic-Topographic Center,",3,United States. Defense Mapping Agency. Hydrographic/Topographic Center,http://id.loc.gov/authorities/names/n81134632,85%,Pub. (United States. Defense Mapping Agency. Hydrographic/Topographic Center),http://id.loc.gov/authorities/names/n42019917,80%,United States. Defense Mapping Agency. Hydrographic/Topographic Center. Providence Office,http://id.loc.gov/authorities/names/n88077253,74%,"Defense Mapping Agency, Hydrographic/Topographic Center, (100%); Defense Mapping Agency Hydrographic/Topographic Center, (100%); : Defense Mapping Agency Hydrographic/Topographic Center, (100%)"
"""Agustin Codazzi"" Geographical Institute of Colombia",3,,,,,,,,,,
National Geographic Institute (IGN),3,,,,,,,,,,
"Survey and Mapping Office, Lands Department",3,Hong Kong. Lands Department. Survey and Mapping Office. Series,http://id.loc.gov/authorities/names/n95016160,57%,Hong Kong (China). Lands Department. Survey and Mapping Office. Series,http://id.loc.gov/authorities/names/n2004154242,53%,Hong Kong. Lands Department. Survey and Mapping Office,http://id.loc.gov/authorities/names/n95015772,52%,
"Scientific Technical Enterprise of Digital Cartography and GIS, The Committee for Management of Land Resources, Ministry of Agriculture STE ""Kartinform""",3,,,,,,,,,,
Department of Survey and Mapping  Malaysia,3,Malaysia. Jabatan Ukur dan Pemetaan,http://id.loc.gov/authorities/names/n2007052458,21%,,,,,,,
General Directorate of Military Survey,3,Great Britain. Directorate of Military Survey,http://id.loc.gov/authorities/names/n80050519,82%,Series (Standard map series designation system),http://id.loc.gov/authorities/names/n84745862,28%,GSGS (Series),http://id.loc.gov/authorities/names/n84704600,24%,
General Organization of Remote Sensing (GORS),3,Hayʾah al-ʻĀmmah lil-Istishʻār ʻan Buʻd (Syria),http://id.loc.gov/authorities/names/n2001119924,24%,,,,,,,
Royal Thai Survey Department,3,Thailand. Krom Phǣnthī Thahān,http://id.loc.gov/authorities/names/n80162572,25%,,,,,,,
Chez Didot,2,,,,,,,,,,
"Bureau of the American Republics (Washington, D.C.)",2,"Bureau of the American Republics (Washington, D.C.)",http://id.loc.gov/authorities/names/no88001767,100%,"Bulletin (Bureau of the American Republics (Washington, D.C.))",http://id.loc.gov/authorities/names/no2013017107,90%,International Bureau of the American Republics,http://id.loc.gov/authorities/names/n79118118,66%,
United States. Office of Strategic Services. Geography Division.,2,United States. Office of Strategic Services. Geography Division,http://id.loc.gov/authorities/names/no00093034,99%,United States. Office of Strategic Services. Geography Division. Map Information Section,http://id.loc.gov/authorities/names/n2006088646,84%,,,,United States. Office of Strategic Services. (75%)
Central Intelligence Agency,2,Records of the Central Intelligence Agency,http://id.loc.gov/authorities/names/n2005087814,78%,United States. Central Intelligence Agency. Office of Global Issues,http://id.loc.gov/authorities/names/no89016122,57%,United States. Central Intelligence Agency. Directorate of Intelligence,http://id.loc.gov/authorities/names/n81013468,55%,United States. Central Intelligence Agency. (60%); United States Central Intelligence Agency (60%)
New York (N.Y.). Department of Sanitation,2,New York (N.Y.). Department of Sanitation,http://id.loc.gov/authorities/names/n50074735,100%,New York (N.Y.). Bureau of Waste Disposal,http://id.loc.gov/authorities/names/no91009598,61%,"New York (N.Y.). Bureau of Waste Prevention, Reuse and Recycling",http://id.loc.gov/authorities/names/no2001004126,55%,New York (N.Y.). Department of Transportation (75%); New York (N.Y.). Department of Education (75%); New York (N.Y.). Department of Environmental Protection (67%); New York (N.Y.). Police Department (62%); New York (N.Y.). Department of Parks and Recreation (60%)
"Reprinted by NIMA,",2,,,,,,,,,,
United Kingdom,2,United Kingdom Singapore Law Students' Society,http://id.loc.gov/authorities/names/no2010115451,47%,United Kingdom Haemophilia Centre Doctors' Organisation,http://id.loc.gov/authorities/names/no2010176314,41%,Fur Breeders' Association of the United Kingdom & Ireland,http://id.loc.gov/authorities/names/n77015537,39%,
"Topographic Survey Directorate, Survey and Land Registration Bureau",2,Bahrain. Survey and Land Registration Bureau. Topographic Survey Directorate,http://id.loc.gov/authorities/names/n2007061213,55%,,,,,,,
CERGEC - Centre de Recherche Geographique et de Production Cartographique,2,,,,,,,,,,
Ethiopian Mapping Agency,2,YaʼItyoṗyā kārtā śerā derejet. Research & Development Services,http://id.loc.gov/authorities/names/n89118901,21%,YaʼItyoṗyā kārtā śerā derejet,http://id.loc.gov/authorities/names/n79010532,8%,,,,
Institut Geographique National,2,Institut geographique national (Morocco),http://id.loc.gov/authorities/names/n2009025634,86%,Institut géographique national (France). Annexe du Maroc,http://id.loc.gov/authorities/names/n96074600,67%,Institut géographique national (France). Annexe de Dakar,http://id.loc.gov/authorities/names/n2009053604,67%,
Survey of Pakistan,2,Soil Survey of Pakistan,http://id.loc.gov/authorities/names/n83220706,88%,Geological Survey of Pakistan,http://id.loc.gov/authorities/names/n80126182,77%,Sociolinguistic survey of Northern Pakistan,http://id.loc.gov/authorities/names/no96047944,59%,
U.S. Army Corps of Engineers Navigation Data Center,2,,,,,,,,,,U.S. Army Corps. of Engineers (67%)
U.S. Bureau of the Census (BOC),2,,,,,,,,,,U.S. Census Bureau (BOC) (71%)
U.S. Census Bureau (BOC),2,,,,,,,,,,U.S. Bureau of the Census (BOC) (71%)
New York Public Library.,2,Treasures (New York Public Library),http://id.loc.gov/authorities/names/no2022094312,78%,"Huffman, James (Of the New York Public Library)",http://id.loc.gov/authorities/names/n2025009528,65%,New York Public Library. Office of Children's Services,http://id.loc.gov/authorities/names/n89664224,62%,
Maryland Geological Survey.,2,Maryland Geological Survey. Quadrangle atlas,http://id.loc.gov/authorities/names/n86707123,76%,Open file report (Maryland Geological Survey),http://id.loc.gov/authorities/names/no90027737,72%,Maryland Geological Survey. Division of Archeology,http://id.loc.gov/authorities/names/n84073380,70%,Geological Survey of Maryland. (75%); Geological Survey (67%)
The Service,2,"O'Brien, Edward, of the Indian Civil Service",http://id.loc.gov/authorities/names/no2003125303,40%,"English officer in the Prussian service, active 1758",http://id.loc.gov/authorities/names/no97001674,35%,"Jones, Frederic, Captain",http://id.loc.gov/authorities/names/nr96044582,34%,
"U.S. Topographic Command,",2,United States. Army Topographic Command,http://id.loc.gov/authorities/names/n79119419,72%,U.S. Army Engineer Topographic Laboratories,http://id.loc.gov/authorities/names/n80123533,56%,,,,
Bluesky International Limited,1,,,,,,,,,,
"Ann Arbor, MI.",1,University of Michigan,http://id.loc.gov/authorities/names/n79021846,33%,New directions in therapy series,http://id.loc.gov/authorities/names/n2005064435,26%,,,,
NYC DOHMH - GIS Center,1,,,,,,,,,,
NYPL,1,New York Public Library,http://id.loc.gov/authorities/names/n79033065,30%,Artists' Books Collection (New York Public Library. Prints Division),http://id.loc.gov/authorities/names/no2025009189,11%,,,,
R. Baldwin,1,"Hayward, R. Baldwin (Robert Baldwin), 1829-1903",http://id.loc.gov/authorities/names/n85800572,35%,"Baldwin, R. (Robert), 1737-1810",http://id.loc.gov/authorities/names/nr91030933,34%,"Baldwin, R. A. (Roy Alvin), 1895-",http://id.loc.gov/authorities/names/no99012586,33%,
chez Pierre de Hondt,1,,,,,,,,,,
Published according to Act of Parliament by J. Rennell,1,,,,,,,,,,Publish'd according to Act of Parliament by J. Rennell (73%)
Publish'd according to Act of Parliament by J. Rennell,1,,,,,,,,,,Published according to Act of Parliament by J. Rennell (73%)
J. Macgowan & W. Davis,1,,,,,,,,,,
"Laurie & Whittle ...,",1,Laurie & Whittle,http://id.loc.gov/authorities/names/n50056387,86%,Whittle & Laurie,http://id.loc.gov/authorities/names/nb2013015630,43%,,,,
Edward Stanford,1,Edward Stanford Ltd. Stanford's war maps,http://id.loc.gov/authorities/names/n2004114208,55%,Edward Stanford Ltd. London atlas series,http://id.loc.gov/authorities/names/n86730091,55%,Edward Stanford Ltd. Quarto atlas series,http://id.loc.gov/authorities/names/no2020021920,55%,Edward Stanford Ltd. (67%)
Pennsylvania Geological Survey,1,"Pennsylvania Geological Survey, fourth series",http://id.loc.gov/authorities/names/n42029975,80%,Pennsylvania. Topographic and Geological Survey Commission,http://id.loc.gov/authorities/names/n79059782,68%,Pennsylvania. Board of Commissioners for the Second Geological Survey,http://id.loc.gov/authorities/names/n79059781,61%,Geological Survey (67%)
Day & Son.,1,Days Lumberyard,http://id.loc.gov/authorities/names/n79017529,32%,"Nisbet, Anabel Major. Day in and day out in Korea. Korean",http://id.loc.gov/authorities/names/n2013050345,24%,"Jaufré Rudel, active 12th century. Lanquan li jorn son lonc en may",http://id.loc.gov/authorities/names/n94044150,21%,
H.H. Lloyd & Co.,1,H.H. Lloyd & Co.,http://id.loc.gov/authorities/names/nr98044735,100%,,,,,,,
"City Surveyor (F. Meyer & Co., lith.)",1,,,,,,,,,,
H.S. Stebbins,1,,,,,,,,,,
[City Surveyor],1,Seattle (Wash.). City Surveyor,http://id.loc.gov/authorities/names/n2007161011,58%,New York (N.Y.). City Surveyor,http://id.loc.gov/authorities/names/n2003122614,58%,Louisville (Ky.). City Surveyor,http://id.loc.gov/authorities/names/n78045657,57%,
Justus Perthes,1,"Justus Perthes (Firm : Gotha, Germany)",http://id.loc.gov/authorities/names/n50081959,54%,"Justus Perthes (Firm : Darmstadt, Germany)",http://id.loc.gov/authorities/names/n81127629,50%,"Perthes, Justus",http://id.loc.gov/authorities/names/n2022052066,48%,
Lit. Virano e Teano,1,Lit. Virano e Teano,http://id.loc.gov/authorities/names/no2022045325,100%,,,,,,,
"[City Surveyor (Louis E. Neuman, Lith)]",1,,,,,,,,,,
Hyde & Company,1,Hyde & Company,http://id.loc.gov/authorities/names/n88187317,100%,Hyde-Shaw Company,http://id.loc.gov/authorities/names/n2006169517,77%,Hyde-Murphy Company,http://id.loc.gov/authorities/names/no2003127155,73%,
